words,frequency
10,5036
great,4145
story,3593
well,2676
don,2640
best,2463
gameplay,2258
2,2183
buy,2123
love,2062
now,2049
hours,1977
new,1946
want,1935
way,1925
people,1882
better,1859
recommend,1837
worth,1834
lot,1764
graphics,1755
many,1742
go,1686
pretty,1682
little,1641
3,1577
got,1550
bad,1536
amazing,1513
think,1495
say,1477
every,1472
feel,1458
though,1418
5,1387
see,1387
things,1379
find,1372
bit,1364
made,1360
1,1316
nice,1303
back,1291
know,1275
world,1247
hard,1212
need,1203
awesome,1202
level,1202
different,1194
free,1192
characters,1192
never,1187
give,1180
around,1179
something,1173
makes,1154
experience,1151
money,1114
combat,1107
player,1094
enough,1077
character,1070
right,1066
friends,1055
actually,1055
far,1054
try,1046
long,1045
steam,1043
system,1043
use,1035
take,1033
times,1018
short,1003
everything,998
work,995
going,994
4,981
quite,977
start,961
old,960
doesn,956
easy,947
end,944
enjoy,923
overall,903
without,897
interesting,891
players,867
review,854
nothing,851
music,849
multiplayer,839
two,837
pc,835
point,823
look,814
series,805
run,800
real,798
kill,791
may,786
life,781
looking,781
keep,771
superhot,771
getting,770
isn,766
sale,765
didn,763
simple,761
price,753
another,745
feels,736
dont,735
must,735
anything,731
dlc,729
enemies,728
sure,728
8,727
probably,721
weapons,715
style,711
9,706
might,706
full,704
fps,691
mode,686
definitely,686
controls,684
cool,682
always,675
put,674
yet,669
levels,666
come,661
part,653
almost,648
done,635
action,634
bought,630
mechanics,628
rpg,622
based,621
found,619
let,614
highly,611
fan,610
single,609
least,605
anyone,603
main,601
making,600
version,599
said,598
day,593
content,590
original,590
online,583
especially,583
kind,582
years,581
trying,579
unique,578
sometimes,574
less,571
gets,569
puzzles,567
able,566
beautiful,566
seems,563
big,561
stuff,561
whole,559
next,558
everyone,557
maybe,543
last,541
map,540
used,538
bugs,534
boring,534
fast,531
turn,527
enemy,524
yes,519
away,519
rather,518
reason,516
high,516
art,514
die,514
design,512
7,511
instead,510
already,508
amount,508
either,506
issues,506
takes,505
items,504
team,503
wait,502
thought,494
100,492
open,492
minutes,491
side,491
missions,490
enjoyed,489
difficulty,488
space,487
won,486
puzzle,486
looks,485
community,482
perfect,479
lots,478
person,478
help,477
problem,475
smile,473
complete,471
enjoyable,460
pay,457
absolutely,457
shooter,456
sound,455
half,452
war,449
campaign,448
challenging,447
add,447
op,446
fantastic,443
cons,442
difficult,440
soundtrack,439
top,437
fact,437
ai,436
voice,436
mind,436
hope,435
etc,435
strategy,435
20,433
save,433
dark,433
hell,429
fight,427
although,426
small,426
second,425
support,425
using,424
left,419
set,418
pros,417
hit,416
maps,415
decent,415
ing,415
screen,415
buying,415
pick,414
solid,413
dead,413
oh,412
click,411
6,407
beat,406
seem,405
fix,404
seen,403
mods,401
favorite,399
expect,399
huge,398
wish,397
super,397
mission,397
friend,395
stop,394
hour,394
haven,394
change,393
spent,393
spend,392
co,391
running,390
loved,388
simply,385
place,385
cant,384
developers,382
someone,381
boss,380
often,380
adventure,379
later,378
im,378
reviews,378
excellent,376
slow,371
choose,371
classic,370
guns,368
wrong,368
points,368
others,367
wanted,367
needs,367
days,366
build,366
tell,366
year,365
update,365
win,364
video,363
city,362
controller,360
fighting,359
idea,359
took,358
please,356
felt,356
atmosphere,356
move,354
u,352
alot,352
amp,352
liked,350
completely,349
control,349
comes,348
skill,347
easily,347
ok,346
11,345
opinion,345
extremely,345
plot,345
battle,345
us,344
started,343
tried,343
sense,342
options,340
read,340
man,338
problems,338
simulator,336
learn,335
works,334
lack,334
ending,334
gt,333
together,333
due,333
choices,333
type,331
become,331
annoying,328
horror,328
