words,frequency
superhot superhot superhot,764
holefire holefire holefire,243
buy buy buy,128
8 5 10,72
9 5 10,69
worth every penny,53
7 5 10,51
click click click,46
highly recommend anyone,43
left 4 dead,43
keep coming back,38
turn based strategy,35
half life 2,34
never gets old,31
single player campaign,28
recommend anyone likes,28
point click adventure,27
10 10 recommend,26
player co op,26
give 9 10,26
pac man fever,26
give 10 10,25
turn based combat,24
grand theft auto,24
work makes deano,24
makes deano die,24
worth full price,23
far cry 3,23
best co op,22
hack n slash,22
well worth money,22
super meat boy,21
third person shooter,20
want money back,20
10 10 ign,20
well worth price,20
team fortress 2,19
dark souls 3,19
10 10 buy,18
give 7 10,18
steep learning curve,18
m looking forward,18
10 10 best,17
give 8 10,17
pay full price,17
3 4 hours,16
local co op,16
well put together,15
recommend anyone enjoys,15
6 5 10,15
m pretty sure,15
don waste money,15
quack quack quack,15
definitely worth price,14
old school rpg,14
pay 2 win,14
turn based rpg,14
definitely worth money,14
metal gear solid,14
single player mode,14
euro truck simulator,14
long story short,13
rate 10 10,13
buy full price,13
total war series,13
fast paced action,12
recommend anyone loves,12
12 year old,12
let start saying,12
co op mode,12
heroes might magic,12
c amp c,12
online co op,12
give 8 5,12
m big fan,12
open world rpg,12
single player experience,12
world war ii,12
great co op,11
third person action,11
rate 9 10,11
hours upon hours,11
keeps coming back,11
r8 8 8,11
worth asking price,11
4 player co,11
whole new level,11
hand hand combat,11
rate 8 10,11
paid full price,11
dark souls 1,11
dark souls 2,11
best open world,11
world war 2,11
black ops 2,10
give 7 5,10
10 10 great,10
best single player,10
doesn take long,10
3rd person shooter,10
4 dead 2,10
music sound effects,10
loved every second,10
great voice acting,10
xbox 360 controller,10
resident evil 5,10
m amp b,10
paying full price,10
got pac man,10
got money worth,10
buy right now,10
steam trading cards,10
better cs go,9
matter many times,9
main story line,9
best total war,9
10 10 die,9
blah blah blah,9
8 8 m8,9
d highly recommend,9
keeps getting better,9
single player co,9
many different ways,9
worth every cent,9
best ve long,9
high replay value,9
3rd person action,9
go ahead buy,9
voice acting top,9
10 10 love,9
lot negative reviews,9
best way describe,9
recommend anyone looking,9
devil may cry,9
mass effect 3,9
ve come across,9
day night cycle,9
bioshock 1 2,9
best call duty,8
breath fresh air,8
recommend highly enough,8
d d d,8
come long way,8
recommend anyone everyone,8
wait go sale,8
give negative review,8
far cry 4,8
highly reccomend anyone,8
half life 1,8
batman arkham city,8
