words,frequency
great,3389
10,3077
story,2601
best,2001
well,1835
love,1690
gameplay,1628
don,1362
buy,1349
amazing,1331
hours,1309
worth,1299
recommend,1292
graphics,1291
new,1257
2,1205
better,1182
lot,1174
now,1148
want,1126
pretty,1122
many,1120
little,1107
way,1090
awesome,1043
nice,1024
people,990
bit,946
go,946
say,925
feel,916
though,909
think,906
every,900
3,890
world,884
characters,859
different,857
things,842
got,841
see,839
find,824
5,821
made,815
experience,805
free,792
superhot,771
back,770
friends,768
combat,756
makes,738
level,738
give,727
far,702
hard,700
know,690
never,684
easy,680
need,680
character,680
something,672
around,667
quite,665
long,656
short,654
player,652
1,650
bad,650
system,647
try,645
music,639
enough,635
enjoy,633
interesting,632
take,625
everything,620
old,613
overall,612
right,611
use,598
steam,597
actually,585
series,577
simple,574
must,572
4,570
multiplayer,562
times,556
end,554
style,543
definitely,542
highly,536
sale,534
going,526
price,524
keep,521
without,518
9,513
looking,512
money,511
cool,501
weapons,494
8,491
players,490
may,490
start,489
two,487
work,486
beautiful,486
life,482
action,481
pc,479
rpg,479
doesn,474
fps,468
review,467
look,467
real,467
unique,465
fan,459
sure,458
enemies,457
yet,448
feels,437
run,436
mechanics,435
always,432
probably,429
mode,428
getting,428
dlc,427
point,425
another,424
based,419
anyone,418
come,417
full,416
puzzles,416
done,412
original,410
smile,408
isn,407
levels,406
especially,406
kill,403
perfect,399
content,398
might,396
put,389
didn,388
version,384
soundtrack,381
almost,377
nothing,376
fantastic,376
years,374
part,371
lots,366
art,365
kind,364
enjoyed,363
main,363
dont,359
anything,359
controls,357
enjoyable,355
fast,354
everyone,353
single,351
favorite,349
bought,348
shooter,347
puzzle,347
day,345
online,345
found,344
stuff,341
challenging,337
sometimes,337
making,335
strategy,333
amount,329
person,328
whole,324
difficulty,324
least,322
excellent,322
side,320
items,319
big,318
next,317
solid,317
high,317
design,316
already,316
map,315
said,315
voice,314
absolutely,314
used,312
last,311
100,310
gets,309
although,309
loved,309
takes,306
missions,306
turn,305
enemy,304
able,302
cons,301
team,301
yes,299
wait,299
7,298
op,297
open,297
campaign,296
classic,296
war,296
adventure,295
mind,295
sound,293
community,290
top,289
