words,frequency
10 10,806
superhot superhot,765
9 10,271
co op,261
holefire holefire,244
highly recommend,229
5 10,206
8 10,199
voice acting,195
single player,183
well worth,145
recommend anyone,143
open world,142
well done,136
buy buy,135
great story,132
replay value,125
worth money,123
turn based,122
fast paced,117
don know,114
7 10,113
definitely worth,111
art style,109
must buy,105
11 10,104
highly recommended,104
best have,101
little bit,97
old school,92
story line,92
right now,92
half life,91
full price,90
m sure,88
have seen,87
dark souls,86
well made,82
tower defense,81
gihave try,81
probably best,80
worth price,78
re looking,77
8 5,75
total war,74
many hours,72
worth ehavery,71
lehavel design,71
person shooter,69
definitely recommend,67
9 5,66
call duty,65
makes feel,65
d say,65
looking forward,65
point click,65
lt 3,64
pay win,64
combat system,63
coming back,60
don want,60
hours gameplay,60
don expect,58
learning curhave,57
go back,56
2 hours,56
sci fi,56
visual nohavel,56
5 5,55
have nehaver,54
come back,54
1 2,53
many times,53
re fan,53
m going,52
easy learn,52
many different,51
ehavery penny,51
4 hours,51
real life,51
tomb raider,51
main story,50
boss fights,50
final fantasy,50
5 hours,50
4 5,49
buy now,48
sound effects,48
great graphics,48
totally worth,48
pretty cool,47
anyone likes,47
7 5,47
graphics great,47
amazing story,47
don think,47
well written,46
worth buying,46
don need,46
great gameplay,45
main character,45
star wars,45
years ago,45
side missions,44
dont know,44
assassin creed,44
world war,43
d recommend,43
side quests,43
third person,43
story mode,43
story great,43
many people,42
have got,42
final boss,41
ll find,41
buy sale,41
interesting story,41
re going,41
m glad,41
ehavery single,40
many ways,40
pc haversion,40
worth buy,39
recommend ehaveryone,39
beautiful graphics,39
best part,38
mass effect,38
couple hours,38
way better,38
3 4,38
great job,38
3 hours,38
works well,38
gameplay mechanics,38
saints row,38
counter strike,37
highly reccomend,37
quite bit,37
action packed,37
top notch,37
price tag,37
great soundtrack,37
xbox 360,36
controller support,36
gets old,36
hard master,36
2 3,36
walking dead,36
20 hours,36
don mind,36
nehaver gets,35
action rpg,35
must say,35
10 hours,35
far best,35
different ways,35
story gameplay,35
keep coming,35
6 10,35
totally recommend,34
along way,34
killing floor,34
anyone enjoys,34
steam workshop,34
nice graphics,34
brings back,34
absolutely lohave,34
negatihave reviews,34
100 hours,33
story drihaven,33
many things,33
something new,33
easy pick,33
rpg elements,33
nice little,33
new players,33
sound design,32
great friends,32
keep mind,32
go buy,32
well designed,32
amazing graphics,32
payday 2,32
resident evil,32
far cry,31
ll lohave,31
ohaverall great,31
new content,31
huge fan,31
go wrong,31
gihave 9,31
fallout 3,31
amount content,30
absolutely amazing,30
now m,30
gihave shot,30
running around,30
got sale,30
deus ex,30
steam haversion,29
based strategy,29
recommend people,29
wait sale,29
arma 3,29
survival horror,29
pc port,29
battle system,29
story telling,29
cant wait,29
new features,29
bullet hell,29
real money,29
pac man,29
don buy,28
6 hours,28
looks great,28
easily best,28
put together,28
amazing soundtrack,28
left 4,28
recommend enough,28
metal gear,28
keyboard mouse,28
click adhaventure,28
think worth,28
early access,28
back day,27
thus far,27
d gihave,27
either way,27
person shooters,27
lot people,27
say best,27
take long,27
takes place,27
best way,27
didn know,27
gihave go,27
story interesting,27
well thought,27
mad max,27
season 2,27
odo warlock,27
cs go,26
elder scrolls,26
hundreds hours,26
5 minutes,26
gihave 10,26
have spent,26
highly recomend,26
don care,26
story amazing,26
simple yet,26
4 dead,26
hack slash,26
life 2,26
best free,26
man fehaver,26
civ v,26
come across,25
won regret,25
3rd person,25
don let,25
trading cards,25
hours hours,25
ehavery way,25
almost ehavery,25
10 recommend,25
gihave 8,25
great music,25
character dehavelopment,25
randomly generated,25
8 bit,25
lot things,25
big fan,25
10 minutes,25
online multiplayer,25
gone home,25
recommend getting,24
simply amazing,24
isn bad,24
portal 2,24
anyone lohaves,24
3 5,24
great way,24
wait next,24
people say,24
8 8,24
non stop,24
well balanced,24
sehaveral times,24
great experience,24
great deal,24
different types,24
fell lohave,24
doesn feel,24
write review,24
ll probably,24
wait see,24
nehaver seen,24
work makes,24
makes deano,24
deano die,24
lohave see,24
year old,23
story well,23
pretty decent,23
pretty awesome,23
made feel,23
whole new,23
worth full,23
humble bundle,23
spend money,23
lohave story,23
based combat,23
nice story,23
have already,23
summer sale,23
city builder,23
whole lot,23
lohaved ehavery,23
graphics look,23
sit back,23
borderlands 2,23
story characters,23
witcher 3,23
full review,23
10 buy,22
best made,22
30 minutes,22
money buy,22
runs well,22
8 hours,22
new weapons,22
goes sale,22
20 minutes,22
ehavery now,22
oh god,22
gameplay great,22
best rpg,22
great atmosphere,22
makes want,22
years old,22
got free,22
unique experience,22
ll nehaver,22
ehavery minute,22
makes think,22
attention detail,22
hope see,22
pretty well,22
hotline miami,22
look forward,22
sim city,22
rocket league,22
writing review,21
best fps,21
doesn seem,21
steam sale,21
crafting system,21
worth getting,21
tower defence,21
graphics amazing,21
real world,21
new things,21
getting better,21
start finish,21
short sweet,21
doesn take,21
slow paced,21
high end,21
didn expect,21
something different,21
pros cons,21
many years,21
high lehavel,21
best co,21
city building,21
frame rate,21
great combat,21
micro transactions,21
diablo 3,21
hours complete,21
voice actors,21
have always,21
don see,21
100 10,21
visual nohavels,21
30 hours,20
lehaveling system,20
story pretty,20
don worry,20
quite well,20
later lehavels,20
player campaign,20
ll need,20
5 stars,20
pixel art,20
easy understand,20
n slash,20
player co,20
doesn work,20
binding isaac,20
reccomend anyone,20
im sure,20
trial error,20
worth try,20
new characters,20
m looking,20
mind blowing,20
great little,20
have enjoyed,20
hack n,20
pay attention,20
works great,20
have heard,20
getting used,20
have long,20
assassins creed,20
feel re,20
feel free,20
dead space,20
ehavery day,20
lot better,20
dota 2,20
enough keep,19
awesome soundtrack,19
ehavery aspect,19
multi player,19
another great,19
go ahead,19
countless hours,19
garry mod,19
without doubt,19
best indie,19
huge amount,19
long ago,19
say worth,19
different characters,19
4 player,19
anyone wants,19
dungeon crawler,19
bit short,19
want something,19
yet another,19
don feel,19
ehavery second,19
dragon age,19
combat mechanics,19
batman arkham,19
don understand,19
anyone looking,19
better graphics,19
work well,19
little short,19
want see,19
ehavery lehavel,19
company heroes,19
best rts,19
may seem,19
performance issues,19
gihave chance,19
money worth,19
lord rings,19
e g,19
find way,19
new havegas,19
season 1,19
extremely well,18
unlock new,18
waste money,18
recommend friends,18
strongly recommend,18
hard find,18
makes better,18
don wrong,18
pretty hard,18
amazing experience,18
max payne,18
alan wake,18
story short,18
old days,18
mess around,18
gameplay solid,18
60 fps,18
modern day,18
nuff said,18
free roam,18
pretty easy,18
gameplay wise,18
graphics nice,18
music great,18
new lehavel,18
trying find,18
ll gihave,18
skill tree,18
season pass,18
left right,18
fallout 4,18
bad reviews,18
new mechanics,18
graphics pretty,17
best steam,17
want keep,17
blown away,17
sense humor,17
favorite part,17
nehaver got,17
2 years,17
0 10,17
straight forward,17
recommend buying,17
run around,17
have years,17
absolutely worth,17
decent story,17
bought sale,17
gihave 7,17
great community,17
character models,17
grand theft,17
oh yeah,17
wide variety,17
looking something,17
always wanted,17
piece art,17
difficulty lehavel,17
bottom line,17
enjoyed ehavery,17
high quality,17
plot twists,17
character customization,17
best series,17
great great,17
god war,17
puzzle platformer,17
going back,17
thoroughly enjoyed,17
right away,17
think great,17
root double,17
many others,16
absolutely fantastic,16
person action,16
didn want,16
different modes,16
best strategy,16
hours finish,16
bugs glitches,16
boss battles,16
people don,16
long way,16
especially sale,16
runs smooth,16
nice gameplay,16
art direction,16
action adhaventure,16
easy use,16
story told,16
5 years,16
5 7,16
runs smoothly,16
solhave puzzles,16
theft auto,16
things interesting,16
zombie survival,16
done well,16
3 times,16
ll enjoy,16
graphics beautiful,16
unless re,16
cant stop,16
recomend anyone,16
skill trees,16
mod support,16
know re,16
loot system,16
best ihave,16
lohave ehaverything,16
bioshock infinite,16
guns blazing,16
decided gihave,16
beat em,16
boss fight,16
pretty great,16
cry 3,16
enjoyable experience,16
simple concept,16
half hour,16
quack quack,16
gets boring,15
great well,15
windows 10,15
lohave hate,15
steam library,15
way want,15
don bother,15
towards end,15
have done,15
actually pretty,15
power ups,15
age empires,15
especially friends,15
think ll,15
new update,15
jump scares,15
nehaver felt,15
low price,15
group friends,15
side scrolling,15
bad things,15
hours end,15
hard mode,15
10 ign,15
quite short,15
keep going,15
variety weapons,15
takes long,15
unique gameplay,15
7 hours,15
gta v,15
10 years,15
years later,15
6 5,15
m enjoying,15
m writing,15
hidden object,15
makes sense,15
feels real,15
take seriously,15
m pretty,15
take away,15
worth purchase,15
little things,15
pretty nice,15
ll want,15
graphics card,15
quite enjoyable,15
m talking,15
5 6,15
way around,15
episode 2,15
great concept,15
local co,15
civ 5,15
easter eggs,15
run gun,15
want say,15
looks pretty,15
near end,15
sehaveral hours,15
9 11,15
ll keep,15
truck simulator,15
cause 2,15
pretty damn,14
people lohave,14
back days,14
bought steam,14
world explore,14
decent graphics,14
pay full,14
keep things,14
different weapons,14
great rpg,14
1 hour,14
team fortress,14
nehaver heard,14
feel need,14
completely different,14
10 great,14
truly amazing,14
great people,14
brand new,14
dont want,14
value money,14
hours far,14
better friends,14
honestly say,14
dev team,14
story makes,14
best long,14
characters interesting,14
shooter have,14
cut scenes,14
possibly best,14
probably favorite,14
gameplay simple,14
u want,14
10 gameplay,14
music sound,14
d expect,14
bad guys,14
best story,14
addictihave gameplay,14
people want,14
didn think,14
higher difficulty,14
let alone,14
think best,14
great multiplayer,14
mouse keyboard,14
worth picking,14
quite lot,14
well executed,14
awesome story,14
memorable characters,14
start saying,14
many characters,14
source engine,14
quite nice,14
keep entertained,14
kill people,14
arkham city,14
free weekend,14
diablo 2,14
modding community,14
final haverdict,14
hardest difficulty,14
couple times,14
story awesome,14
1 5,14
must anyone,14
re able,14
back old,14
tactical shooter,14
hours spent,14
around world,14
have tried,14
3 days,14
different experience,14
feel bit,14
many choices,14
might well,14
start new,14
episode 1,14
hours long,14
arkham asylum,14
amazing gameplay,14
know people,14
technical issues,14
bioshock 1,14
almost ehaverything,14
gear solid,14
career mode,14
ll see,14
pretty solid,14
shoot em,14
best zombie,14
steering wheel,14
hour two,14
12 hours,14
street fighter,14
need know,14
let say,14
outta mind,14
war ii,14
nehaver forget,13
now have,13
best cod,13
multiplayer mode,13
great addition,13
enemy types,13
day night,13
feels great,13
sale price,13
graphics gameplay,13
difficulty lehavels,13
great free,13
around map,13
real strategy,13
current state,13
rate 9,13
200 hours,13
well put,13
have made,13
far better,13
couple years,13
1 3,13
new world,13
new stuff,13
despite fact,13
long enough,13
d rather,13
d highly,13
find new,13
need buy,13
many many,13
adding new,13
keeps getting,13
truly great,13
have found,13
go sale,13
style gameplay,13
great storyline,13
cast characters,13
school rpg,13
character design,13
solid gameplay,13
mohave around,13
nice see,13
melee combat,13
ing awesome,13
buy dlc,13
splinter cell,13
ohaverall rating,13
next gen,13
m happy,13
won spoil,13
best rpgs,13
great voice,13
great work,13
new people,13
ehavery mission,13
pretty sure,13
little better,13
9 hours,13
hard difficulty,13
hand hand,13
wouldn recommend,13
short story,13
gameplay smooth,13
without paying,13
feels bit,13
player base,13
bit hard,13
big deal,13
easy mode,13
war series,13
well spent,13
interactihave story,13
party members,13
people complaining,13
completely free,13
new enemies,13
demon souls,13
360 controller,13
middle earth,13
recommend buy,13
2 great,13
read reviews,13
1 10,13
works fine,13
puzzle solving,13
tv show,13
duke nukem,13
euro truck,13
work art,13
holy crap,13
quite challenging,13
best city,13
10 best,12
buy steam,12
want go,12
great action,12
recommend highly,12
seem bit,12
fortress 2,12
reminds lot,12
minor bugs,12
think better,12
spend hours,12
new items,12
2 d,12
meat boy,12
dont think,12
want kill,12
git gud,12
nothing wrong,12
have gotten,12
without getting,12
character progression,12
9 99,12
different things,12
brought back,12
decent amount,12
best experience,12
hours record,12
awesome gameplay,12
best single,12
combat feels,12
want know,12
making feel,12
something ehaveryone,12
anything want,12
lohave fact,12
post apocalyptic,12
beautiful art,12
steep learning,12
using controller,12
have waiting,12
ehaverything right,12
graphics aren,12
especially re,12
match 3,12
well crafted,12
might magic,12
spoil anything,12
definitely best,12
interesting mechanics,12
great characters,12
voice actor,12
different styles,12
ehavery character,12
hold hand,12
re new,12
hahaven tried,12
certainly worth,12
written story,12
d lohave,12
buy new,12
new order,12
sound track,12
cup tea,12
last boss,12
24 hours,12
say least,12
awesome graphics,12
square enix,12
m saying,12
core gameplay,12
don go,12
kill enemies,12
doesn matter,12
m gonna,12
bit boring,12
nothing short,12
runs great,12
re getting,12
look great,12
max settings,12
isn enough,12
short length,12
ll always,12
need go,12
lot depth,12
take break,12
different abilities,12
civ iv,12
15 minutes,12
amazing music,12
don starhave,12
feel have,12
long term,12
quite simple,12
rather short,12
free dlc,12
baldur gate,12
bugs fixed,12
needs work,12
f ck,12
great art,12
full screen,12
nemesis system,12
beyond earth,12
2 weeks,11
years now,11
friends alone,11
runs fine,11
interesting gameplay,11
skill system,11
say anything,11
fast trahavel,11
highly enough,11
killing enemies,11
worth sale,11
wont regret,11
main characters,11
actually quite,11
great lohave,11
buy already,11
many items,11
probably won,11
console haversion,11
endless hours,11
worth wait,11
come close,11
best friends,11
gihave us,11
asking price,11
lot different,11
anyone ehaveryone,11
recommend picking,11
worth 10,11
little gem,11
pretty ehavery,11
12 10,11
sehaveral different,11
have experienced,11
always something,11
hours entertainment,11
great idea,11
little hard,11
characters well,11
due fact,11
many bugs,11
community made,11
pc gamer,11
friends online,11
massihave amount,11
negatihave review,11
3 years,11
xbox controller,11
might find,11
have far,11
want spend,11
surprisingly well,11
look past,11
better story,11
don recommend,11
interesting enough,11
14 99,11
end day,11
best racing,11
4 10,11
rainbow six,11
customization options,11
multiple endings,11
best horror,11
hahaven seen,11
bit longer,11
characters story,11
rpg genre,11
star trek,11
map editor,11
ll try,11
max lehavel,11
edge seat,11
worth trying,11
bit easy,11
online co,11
offline mode,11
don forget,11
don work,11
awesome music,11
story takes,11
player mode,11
wide range,11
people complain,11
job done,11
gotta say,11
second playthrough,11
top 10,11
solid 9,11
won disappointed,11
10 bucks,11
something special,11
hell lot,11
plays well,11
re used,11
unless want,11
actual gameplay,11
walk around,11
hours later,11
ihave seen,11
castle crashers,11
different endings,11
use controller,11
quite hard,11
pretty short,11
world map,11
character creation,11
lot potential,11
adds lot,11
buy full,11
don take,11
gets bit,11
next lehavel,11
great buy,11
player character,11
4 years,11
large variety,11
souls 3,11
3 different,11
main menu,11
4 players,11
interesting characters,11
must try,11
take place,11
pretty bad,11
way spend,11
pick sale,11
gameplay elements,11
oh well,11
best multiplayer,11
shadow warrior,11
multiplayer mod,11
thought provoking,11
got money,11
choose adhaventure,11
gtx 970,11
dark zone,11
low end,10
great mods,10
trying kill,10
black ops,10
keep busy,10
fighting system,10
ll go,10
twists turns,10
keep interested,10
rate 8,10
side scroller,10
nice graphic,10
best total,10
team work,10
10 dollars,10
better minecraft,10
see new,10
different classes,10
though may,10
whether re,10
lots things,10
super meat,10
hahaven yet,10
500 hours,10
r8 8,10
months ago,10
let tell,10
come long,10
tons content,10
hours upon,10
people enjoy,10
couldn stop,10
unique style,10
new plus,10
upgrade system,10
excellent story,10
done right,10
see people,10
takes back,10
playable characters,10
simply best,10
pc run,10
add ons,10
far have,10
fantastic story,10
next episode,10
quite possibly,10
best gameplay,10
4 99,10
seems little,10
paced action,10
simple mechanics,10
gameplay graphics,10
new elements,10
new maps,10
op mode,10
worth 20,10
well enough,10
buy want,10
fantasy world,10
opposing force,10
ehavery moment,10
far away,10
need use,10
unique way,10
simple enough,10
nice touch,10
stealth gameplay,10
free running,10
although may,10
got around,10
personal opinion,10
let start,10
almost always,10
dont care,10
based rpg,10
hit miss,10
xcom 2,10
pretty interesting,10
better better,10
whole experience,10
nice addition,10
die hard,10
team based,10
long story,10
personally think,10
11 hours,10
great strategy,10
bit different,10
open ended,10
3 10,10
last us,10
best looking,10
add new,10
bad guy,10
arkham series,10
lohave letter,10
grand strategy,10
takes little,10
walking simulator,10
re pretty,10
league legends,10
light hearted,10
don regret,10
way describe,10
way back,10
story nice,10
lot new,10
2 different,10
lot negatihave,10
regret buying,10
re gihaven,10
almost perfect,10
minor issues,10
have finished,10
kinda short,10
new abilities,10
makes interesting,10
story based,10
made laugh,10
rpg maker,10
stop reading,10
soundtrack amazing,10
feel right,10
art design,10
pen paper,10
definitely buy,10
witcher 2,10
grappling hook,10
cash shop,10
system makes,10
two things,10
stanley parable,10
zombie apocalypse,10
2 days,10
main storyline,10
re willing,10
easy enough,10
c mon,10
space station,10
personally lohave,10
fairly short,10
makes great,10
may best,10
best open,10
way go,10
have bought,10
write reviews,10
tight controls,10
definately recommend,10
don gihave,10
solving puzzles,10
path exile,10
rate 10,10
bring back,10
100 times,10
god damn,10
people around,10
90 minutes,10
want gihave,10
see lot,10
sid meier,10
absolutely gorgeous,10
ohaverall experience,10
combo system,10
story far,10
bit repetitihave,10
got pac,10
buy right,10
gameplay awesome,10
might seem,10
best world,10
fighting mechanics,10
black flag,10
windowed mode,10
man sky,10
last door,10
phantom pain,10
hideo kojima,10
dragon ball,10
best moba,10
alot people,9
gameplay experience,9
20 30,9
main quest,9
skill points,9
might bit,9
bit slow,9
picked sale,9
quite different,9
great ohaverall,9
best parts,9
survival mode,9
know many,9
pretty standard,9
didn feel,9
highly suggest,9
procedurally generated,9
may think,9
items find,9
makes bit,9
ehavery new,9
keeps coming,9
thinking buying,9
lot stuff,9
paying attention,9
people saying,9
oh boy,9
didn find,9
doesn mean,9
ehaverything want,9
keep work,9
want try,9
upon hours,9
have come,9
makes worth,9
many features,9
quite easy,9
amazing job,9
gets better,9
hahaven already,9
certain things,9
have many,9
simple controls,9
gameplay ohaverall,9
engaging story,9
difficulty settings,9
price worth,9
art beautiful,9
way story,9
button mashing,9
2 49,9
little story,9
arma 2,9
two days,9
think many,9
mods available,9
great new,9
cold war,9
nice soundtrack,9
gameplay story,9
tv series,9
blood gore,9
story quite,9
intriguing story,9
great mechanics,9
hahaven finished,9
maybe bit,9
table top,9
5 dollars,9
fair amount,9
better now,9
gameplay makes,9
little puzzle,9
dark humor,9
feel real,9
red orchestra,9
best gta,9
came back,9
windows 7,9
better gta,9
years come,9
wait second,9
zombie killing,9
lots people,9
buying sale,9
going buy,9
kill zombies,9
normal mode,9
well optimized,9
indiana jones,9
spending money,9
f e,9
wasn expecting,9
looks amazing,9
story little,9
work put,9
favorite series,9
great things,9
main reason,9
need say,9
amp c,9
little buggy,9
finished yet,9
solid story,9
matter many,9
m huge,9
thought d,9
hours enjoyment,9
nice simple,9
loading screen,9
ehavery cent,9
gets little,9
kind person,9
fairly simple,9
design great,9
current price,9
diablo ii,9
classes choose,9
cute little,9
hard easy,9
best action,9
torchlight ii,9
spend lot,9
online mode,9
makes easy,9
lohave characters,9
old classic,9
already said,9
2 4,9
experiences have,9
arcade style,9
top 5,9
4 different,9
well paced,9
doom 3,9
nehaver thought,9
terms gameplay,9
have put,9
lot ways,9
hand combat,9
close quarters,9
have year,9
absolutely beautiful,9
know m,9
controls simple,9
user interface,9
re gonna,9
press button,9
many players,9
fairly easy,9
want enjoy,9
deep story,9
challenging enough,9
two three,9
say enjoyed,9
free haversion,9
pretty simple,9
nothing better,9
dear esther,9
better experience,9
great price,9
paid full,9
graphics awesome,9
10 must,9
2 10,9
hand drawn,9
hours straight,9
10 lohave,9
able see,9
multiple times,9
relatihavely short,9
feel little,9
say gihave,9
workshop support,9
definitely recommended,9
made cry,9
whole story,9
01 1,9
well known,9
skill based,9
ll feel,9
seen many,9
30 fps,9
adds new,9
m running,9
art music,9
replay ability,9
want build,9
great use,9
ll start,9
fact free,9
two characters,9
quick ehavents,9
2 5,9
feel great,9
small amount,9
slightly different,9
day 1,9
best things,9
personally found,9
keep getting,9
want buy,9
think have,9
graphics sound,9
great example,9
amazing art,9
civil war,9
back forth,9
gihave thumbs,9
planetside 2,9
sniper rifle,9
new dlc,9
00 0,9
stay alihave,9
music nice,9
feels right,9
buy stuff,9
highly enjoyable,9
fps genre,9
highly addictihave,9
visual style,9
die lot,9
puzzles solhave,9
many puzzles,9
non linear,9
have lohaved,9
excellent gameplay,9
nice looking,9
many lehavels,9
gameplay amazing,9
10 graphics,9
background story,9
story lot,9
interesting concept,9
makes enjoyable,9
story rich,9
tale two,9
absolutely stunning,9
two sons,9
plot twist,9
job making,9
less hour,9
stay away,9
may find,9
lehavel detail,9
people made,9
great potential,9
re bored,9
hard enough,9
story bit,9
human revolution,9
system shock,9
far favorite,9
state decay,9
local multiplayer,9
bit better,9
d probably,9
pillars eternity,9
innovatihave shooter,9
multiplayer fps,8
better cs,8
feel bad,8
recommend anybody,8
hope review,8
story enjoyable,8
gotta lohave,8
best best,8
world warcraft,8
breath fresh,8
fresh air,8
little details,8
gihave solid,8
always come,8
won find,8
class system,8
system great,8
large amount,8
weapons choose,8
fighting style,8
great visuals,8
fans genre,8
wouldn call,8
primal carnage,8
safely say,8
science fiction,8
real challenge,8
definitly worth,8
1 0,8
hours playtime,8
nehaver old,8
year ago,8
without friends,8
personally find,8
blah blah,8
coming soon,8
tons weapons,8
might say,8
gotten better,8
amazing friends,8
hours without,8
getting bored,8
till end,8
1 1,8
don miss,8
places explore,8
extremely challenging,8
ohaverall pretty,8
spent many,8
lots different,8
pixel graphics,8
im gonna,8
want find,8
got little,8
pretty ehaverything,8
finally got,8
got back,8
fall lohave,8
long long,8
decent enough,8
m surprised,8
end result,8
go fast,8
great see,8
without mods,8
best pc,8
don wanna,8
paced gameplay,8
definitely must,8
grab sale,8
voice chat,8
takes away,8
let know,8
simply put,8
silent hill,8
7 8,8
recommend using,8
soundtrack great,8
now pc,8
old graphics,8
characters unique,8
lot replayability,8
easily favorite,8
simple gameplay,8
im going,8
sure hell,8
unique characters,8
6 7,8
way possible,8
review written,8
side note,8
mario kart,8
online community,8
although graphics,8
gta series,8
without knowing,8
high school,8
variety maps,8
don fooled,8
harder difficulties,8
two hours,8
earn money,8
enjoy ehavery,8
heroes might,8
way see,8
dark descent,8
part 2,8
stand alone,8
lowest settings,8
dirt cheap,8
m actually,8
pleasantly surprised,8
5 times,8
well told,8
look around,8
40 hours,8
absolutely lohaved,8
go along,8
c amp,8
work hard,8
casual gamer,8
10 15,8
previous titles,8
enemy variety,8
suffice say,8
lehavel 1,8
pay 2,8
2 win,8
little repetitihave,8
higher difficulties,8
definitely check,8
don pay,8
resource management,8
d suggest,8
try different,8
expansion packs,8
d ampwink,8
awesome mods,8
quite interesting,8
amount hours,8
ehaveryone needs,8
read review,8
hard put,8
great character,8
great amount,8
graphics music,8
classic sonic,8
recommend players,8
think anything,8
great lehavel,8
quite often,8
great sound,8
story actually,8
story wise,8
super easy,8
wasn sure,8
pretty amazing,8
puzzles aren,8
expanded upon,8
sets apart,8
4 times,8
controls bit,8
system allows,8
better original,8
sneak around,8
type person,8
high replay,8
incredibly well,8
pun intended,8
graphics settings,8
acting great,8
wish longer,8
tomb raiding,8
aren many,8
ehavery corner,8
sale though,8
say great,8
